"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","1uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","Green (PWR)","LED_SMD:LED_0805_2012Metric","1",""
"D2","Yellow (PULSE)","LED_SMD:LED_0805_2012Metric","1",""
"D3","Blue (STATUS)","LED_SMD:LED_0805_2012Metric","1",""
"J1","USB-C","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"J2","AVR-ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"J3","AUX_OUT","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","47k","Resistor_SMD:R_0805_2012Metric","1",""
"R7","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R8","1k","Resistor_SMD:R_0805_2012Metric","1",""
"U1","NE555D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","ATtiny85-20SU","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
