Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",14.000000,-16.000000,0.000000,top
"C2","1uF","C_0805_2012Metric",16.000000,-13.000000,180.000000,top
"C3","10nF","C_0805_2012Metric",28.000000,-22.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",28.000000,-18.000000,0.000000,top
"C5","100nF","C_0805_2012Metric",43.500000,-23.500000,0.000000,top
"D1","Green (PWR)","LED_0805_2012Metric",10.500000,-36.000000,0.000000,top
"D2","Yellow (PULSE)","LED_0805_2012Metric",20.000000,-36.000000,0.000000,top
"D3","Blue (STATUS)","LED_0805_2012Metric",31.000000,-36.000000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",4.300000,-25.000000,-90.000000,top
"J2","AVR-ISP","PinHeader_2x03_P2.54mm_Vertical",37.000000,-11.000000,0.000000,top
"J3","AUX_OUT","PinHeader_1x04_P2.54mm_Vertical",24.000000,-44.000000,90.000000,top
"R1","5.1k","R_0805_2012Metric",14.000000,-23.750000,0.000000,top
"R2","5.1k","R_0805_2012Metric",14.000000,-26.750000,0.000000,top
"R3","1k","R_0805_2012Metric",14.500000,-36.000000,0.000000,top
"R4","1k","R_0805_2012Metric",24.000000,-36.000000,0.000000,top
"R5","10k","R_0805_2012Metric",22.000000,-9.000000,0.000000,top
"R6","47k","R_0805_2012Metric",22.000000,-13.000000,0.000000,top
"R7","10k","R_0805_2012Metric",34.525000,-20.800000,-90.000000,top
"R8","1k","R_0805_2012Metric",35.000000,-36.000000,0.000000,top
"U1","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",22.000000,-20.000000,0.000000,top
"U2","ATtiny85-20SU","SOIC-8_3.9x4.9mm_P1.27mm",37.000000,-26.000000,0.000000,top
