"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C5","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C6","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C7","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C8","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C9","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C10","100nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C11","2.2nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C12","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"D1","Green (PWR)","LED_SMD:LED_0805_2012Metric","1",""
"D2","Blue (STATUS)","LED_SMD:LED_0805_2012Metric","1",""
"J1","USB-C","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"J2","OLED_I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"R1","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","5.1k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","4.7k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","4.7k","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R6","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R7","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R8","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R9","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R10","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R11","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R12","1k","Resistor_SMD:R_0805_2012Metric","1",""
"R13","1k","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","UP","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW2","DOWN","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW3","LEFT","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW4","RIGHT","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW5","SELECT","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW_BOOT?","BOOT","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"SW_RST?","RESET","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","1",""
"U1","ESP32-C3-WROOM-02","RF_Module:ESP32-C3-WROOM-02","1",""
"U2","MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","1",""
"U3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
