Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0805_2012Metric",30.000000,-50.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",26.000000,-38.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",35.000000,-32.000000,0.000000,top
"C4","100nF","C_0805_2012Metric",70.000000,-48.000000,0.000000,top
"C5","100nF","C_0805_2012Metric",41.000000,-22.000000,0.000000,top
"C6","100nF","C_0805_2012Metric",9.000000,-14.000000,0.000000,top
"C7","100nF","C_0805_2012Metric",9.000000,-40.000000,0.000000,top
"C8","100nF","C_0805_2012Metric",6.000000,-34.000000,0.000000,top
"C9","100nF","C_0805_2012Metric",24.000000,-34.000000,0.000000,top
"C10","100nF","C_0805_2012Metric",76.000000,-20.000000,0.000000,top
"C11","2.2nF","C_0805_2012Metric",37.000000,-18.000000,180.000000,top
"C12","10uF","C_0805_2012Metric",55.000000,-44.000000,0.000000,top
"D1","Green (PWR)","LED_0805_2012Metric",34.000000,-38.000000,0.000000,top
"D2","Blue (STATUS)","LED_0805_2012Metric",60.000000,-44.000000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",42.500000,-51.000000,0.000000,top
"J2","OLED_I2C","PinHeader_1x04_P2.54mm_Vertical",35.000000,-7.000000,0.000000,top
"R1","5.1k","R_0805_2012Metric",35.000000,-51.000000,0.000000,top
"R2","5.1k","R_0805_2012Metric",50.000000,-51.000000,0.000000,top
"R3","4.7k","R_0805_2012Metric",41.000000,-10.000000,0.000000,top
"R4","4.7k","R_0805_2012Metric",41.000000,-14.000000,0.000000,top
"R5","10k","R_0805_2012Metric",71.000000,-37.000000,0.000000,top
"R6","10k","R_0805_2012Metric",74.000000,-6.000000,0.000000,top
"R7","10k","R_0805_2012Metric",15.000000,-7.000000,0.000000,top
"R8","10k","R_0805_2012Metric",15.000000,-47.000000,0.000000,top
"R9","10k","R_0805_2012Metric",6.000000,-20.000000,0.000000,top
"R10","10k","R_0805_2012Metric",24.000000,-20.000000,0.000000,top
"R11","10k","R_0805_2012Metric",76.000000,-34.000000,0.000000,top
"R12","1k","R_0805_2012Metric",39.000000,-38.000000,0.000000,top
"R13","1k","R_0805_2012Metric",65.000000,-44.000000,0.000000,top
"SW1","UP","SW_Push_1P1T_XKB_TS-1187A",15.000000,-14.000000,0.000000,top
"SW2","DOWN","SW_Push_1P1T_XKB_TS-1187A",15.000000,-40.000000,0.000000,top
"SW3","LEFT","SW_Push_1P1T_XKB_TS-1187A",6.000000,-27.000000,0.000000,top
"SW4","RIGHT","SW_Push_1P1T_XKB_TS-1187A",24.000000,-27.000000,0.000000,top
"SW5","SELECT","SW_Push_1P1T_XKB_TS-1187A",76.000000,-27.000000,0.000000,top
"SW_BOOT","BOOT","SW_Push_1P1T_XKB_TS-1187A",78.000000,-12.000000,0.000000,top
"SW_RST","RESET","SW_Push_1P1T_XKB_TS-1187A",76.000000,-42.000000,0.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",58.000000,-26.000000,0.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",35.000000,-26.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",28.000000,-44.000000,0.000000,top
