Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",73.500000,-10.500000,0.000000,top
"C1","100nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",39.500000,-14.000000,180.000000,top
"C2","10nF","C_Disc_D5.0mm_W2.5mm_P2.50mm",54.000000,-19.500000,0.000000,top
"C_OUT","10uF","CP_Radial_D6.3mm_P2.50mm",57.000000,-14.500000,0.000000,top
"C_PWR","100uF","CP_Radial_D6.3mm_P2.50mm",37.000000,-6.000000,0.000000,top
"D_PWR","RED","LED_D3.0mm",30.000000,-5.000000,0.000000,top
"J1","USB_C_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",4.300000,-9.000000,-90.000000,top
"J2","Audio_Jack","Jack_3.5mm_PJ320D_Horizontal",91.000000,-10.000000,180.000000,top
"R1","13k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",10.190000,-24.500000,0.000000,top
"R2","12k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",22.190000,-24.500000,0.000000,top
"R3","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",34.190000,-24.500000,0.000000,top
"R4","9.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",46.190000,-24.500000,0.000000,top
"R5","8.2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",58.190000,-24.500000,0.000000,top
"R6","7.5k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",70.190000,-24.500000,0.000000,top
"R7","6.8k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",82.190000,-24.500000,0.000000,top
"RV1","10k","Potentiometer_Bourns_3386P_Vertical",65.500000,-8.150000,0.000000,top
"R_A","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",44.500000,-3.500000,0.000000,top
"R_CC1","5.1k","R_0805_2012Metric",14.000000,-7.750000,0.000000,top
"R_CC2","5.1k","R_0805_2012Metric",14.000000,-10.750000,0.000000,top
"R_PWR","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",25.000000,-13.500000,0.000000,top
"SW1","SW_Key","SW_PUSH_6mm_H5mm",10.750000,-35.000000,0.000000,top
"SW2","SW_Key","SW_PUSH_6mm_H5mm",22.750000,-35.000000,0.000000,top
"SW3","SW_Key","SW_PUSH_6mm_H5mm",34.750000,-35.000000,0.000000,top
"SW4","SW_Key","SW_PUSH_6mm_H5mm",46.750000,-35.000000,0.000000,top
"SW5","SW_Key","SW_PUSH_6mm_H5mm",58.750000,-35.000000,0.000000,top
"SW6","SW_Key","SW_PUSH_6mm_H5mm",70.750000,-35.000000,0.000000,top
"SW7","SW_Key","SW_PUSH_6mm_H5mm",82.750000,-35.000000,0.000000,top
"SW_PWR","SPDT","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",20.000000,-9.000000,0.000000,top
"U1","NE555P","DIP-8_W7.62mm_Socket",44.500000,-8.500000,0.000000,top
