Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C_BASS_L1","47nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",26.000000,-35.000000,0.000000,top
"C_BASS_R1","47nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.000000,-35.000000,0.000000,top
"C_BIAS1","47uF","CP_Radial_D5.0mm_P2.00mm",36.000000,-47.000000,0.000000,top
"C_BIAS2","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",46.000000,-47.000000,0.000000,top
"C_IN_L","1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",7.000000,-33.500000,0.000000,top
"C_IN_R","1uF","C_Disc_D3.8mm_W2.6mm_P2.50mm",72.000000,-33.500000,0.000000,top
"C_MID_L1","22nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",26.000000,-31.500000,0.000000,top
"C_MID_R1","22nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.000000,-31.500000,0.000000,top
"C_OUT_L","100uF","CP_Radial_D5.0mm_P2.00mm",7.000000,-21.000000,0.000000,top
"C_OUT_R","100uF","CP_Radial_D5.0mm_P2.00mm",72.000000,-21.000000,0.000000,top
"C_PWR1","100uF","CP_Radial_D5.0mm_P2.00mm",52.000000,-54.000000,0.000000,top
"C_PWR2","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",59.000000,-54.000000,0.000000,top
"C_TREB_L1","2.2nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",26.000000,-21.000000,0.000000,top
"C_TREB_L2","2.2nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",26.000000,-24.500000,0.000000,top
"C_TREB_R1","2.2nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.000000,-21.000000,0.000000,top
"C_TREB_R2","2.2nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.000000,-24.500000,0.000000,top
"D1","PWR_LED","LED_D3.0mm",36.000000,-54.000000,0.000000,top
"J1","AUDIO_IN","Jack_3.5mm_Ledino_KB3SPRS_Horizontal",20.000000,-50.000000,90.000000,top
"J2","AUDIO_OUT","Jack_3.5mm_Ledino_KB3SPRS_Horizontal",74.000000,-50.000000,90.000000,top
"J3","BAT_3V3","PinHeader_1x02_P2.54mm_Vertical",44.000000,-54.000000,0.000000,top
"RV1","VOL","Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles",14.000000,-12.500000,90.000000,top
"RV2","BASS","Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles",28.000000,-12.500000,90.000000,top
"RV3","MID","Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles",42.000000,-12.500000,90.000000,top
"RV4","TREBLE","Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles",56.000000,-12.500000,90.000000,top
"RV5","BAL","Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical_CircularHoles",70.000000,-12.500000,90.000000,top
"R_BASS_L","4.7k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",7.000000,-37.500000,0.000000,top
"R_BASS_R","4.7k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",72.000000,-37.500000,0.000000,top
"R_BIAS1","47k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",35.000000,-42.000000,0.000000,top
"R_BIAS2","47k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",45.000000,-42.000000,0.000000,top
"R_FB_EQ_L","47k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",16.000000,-28.000000,0.000000,top
"R_FB_EQ_R","47k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",62.000000,-28.000000,0.000000,top
"R_FB_L","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",16.000000,-31.500000,0.000000,top
"R_FB_R","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",62.000000,-31.500000,0.000000,top
"R_GND_L","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",16.000000,-35.000000,0.000000,top
"R_GND_R","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",62.000000,-35.000000,0.000000,top
"R_IN_EQ_L","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",16.000000,-24.500000,0.000000,top
"R_IN_EQ_R","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",62.000000,-24.500000,0.000000,top
"R_IN_L","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",16.000000,-21.000000,0.000000,top
"R_IN_R","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",62.000000,-21.000000,0.000000,top
"R_PULL_L","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",7.000000,-29.500000,0.000000,top
"R_PULL_R","100k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",72.000000,-29.500000,0.000000,top
"R_PWR","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",28.000000,-54.000000,0.000000,top
"R_STAB_L","47R","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",7.000000,-25.500000,0.000000,top
"R_STAB_R","47R","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",72.000000,-25.500000,0.000000,top
"R_TREB_L","2.2k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",26.000000,-28.000000,0.000000,top
"R_TREB_R","2.2k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",52.000000,-28.000000,0.000000,top
"U1","MCP6004","DIP-14_W7.62mm",40.190000,-22.000000,0.000000,top
